tweet,target
"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.",Normal
Will This be the Next Great Depression?  https://youtu.be/jQ_Z-wZK5ps  via @YouTube,Depressive
@codelust the dvd is with me. will bring when we meet next ,Normal
Nice run last night in the rain. Nobody about just me and some twittering birds!! Spinning tonight #triathlon training ,Normal
I was absolutely terrified to start taking it. Like anxious about the anxiety drug. 10mg was a bit rough I didn’t feel right and was not doing well. But then I got it bumped up to 20 and I feel so.... normal? Like I can be a normal functioning person without intense anxiety,Depressive
is learning to Tango with D ,Normal
"telling someone to not be insecure is like telling someone like me with depression and anxiety to cheer up.

make it make sense, because it doesn’t.",Depressive
Pray for those with much anxiety because they or their family members are high risk and for those who are experiencing much grief because they lost a love one due to this disease. #Lordhearourcry #healourland #heavyonmyheart,Depressive
"@LouisGagliardi hahaha... shiiit, dont i feel like a douche bag =/ hehe! thx for the tips anyway  much appreciated!im glad to be different",Normal
What kind of work anxiety is creating this hellscape,Depressive
"Sometimes I wonder how much more productive and overall better I’d be if I didn’t have (seemingly) chronic anxiety, and didn’t have things in my life that cause me such stress. (*´-`)",Depressive
@ellie1971 *LOL* ... I think this is impossible. Unfortunately!  I wish you having a nice and deep sleep with many beautiful dreams! CU,Normal
the anxiety,Depressive
@rentan It can only happen to you. ,Normal
Same sis but anxiety,Depressive
@upstatement can I apply to be in your class too? ,Normal
"😂😂😂 Your tweets are getting me through this pandemic-induced depression. Love, an ICU nurse.",Depressive
Overthinking leads to anxiety attack end up sampai ke subuh lah aku xtido 😔,Depressive
"@craigsutton     that's a long-time, good for you!   ",Normal
@DrBaher I love that list to tick people off. Actually quite a number I already enjoy from time to time or at least they crossed my mind ,Normal
